"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_sec_biogas","conversion_factor_sec_elec","ef_sec_biogas_emi_co2_f_pow"
115,"DE",2030,"pow_combustion_fc_biogas_02",9.12625,0.0,0.0,30502.37674657,555181.777307992,2.70353722949251,0.0,0.0,0.0,0,"","v1","","","",2.66233766233766,1.0,"global_emission_factors.sec_biogas"
116,"DE",2035,"pow_combustion_fc_biogas_02",7.71125,0.0,0.0,30502.37674657,555181.777307992,2.70353722949251,0.0,0.0,0.0,0,"","v1","","","",2.66233766233766,1.0,"global_emission_factors.sec_biogas"
117,"DE",2040,"pow_combustion_fc_biogas_02",3.13125,0.0,0.0,30502.37674657,555181.777307993,2.70353722949251,0.0,0.0,0.0,0,"","v1","","","",2.66233766233766,1.0,"global_emission_factors.sec_biogas"
118,"DE",2045,"pow_combustion_fc_biogas_02",3.13125,0.0,0.0,30502.37674657,555181.777307993,2.70353722949251,0.0,0.0,0.0,0,"","v1","","","",2.66233766233766,1.0,"global_emission_factors.sec_biogas"
119,"DE",2050,"pow_combustion_fc_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_biogas"
120,"DE",2060,"pow_combustion_fc_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_biogas"
121,"DE",2070,"pow_combustion_fc_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_biogas"
122,"DE",2020,"pow_combustion_gt_biogas_04",18.6537,0.0,0.0,8535.944,480289.68,4.761,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,1.0,"global_emission_factors.sec_biogas"
123,"DE",2021,"pow_combustion_gt_biogas_04",18.8535,0.0,0.0,8535.944,480289.68,4.761,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,1.0,"global_emission_factors.sec_biogas"
124,"DE",2024,"pow_combustion_gt_biogas_04",18.8535,0.0,0.0,8535.944,480289.68,4.761,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,1.0,"global_emission_factors.sec_biogas"
125,"DE",2027,"pow_combustion_gt_biogas_04",18.5465,0.0,0.0,8535.944,480289.68,4.761,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,1.0,"global_emission_factors.sec_biogas"
126,"DE",2030,"pow_combustion_gt_biogas_04",16.7615,0.0,0.0,8535.944,480289.68,4.761,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,1.0,"global_emission_factors.sec_biogas"
