"id","region","year","type","availability_constant","efficiency","cost_fix_p","cost_inv_p","lifetime","conversion_factor_me1_space_heating","conversion_factor_me1_hot_water","conversion_factor_me1_space_cooling","flow_share_fix_me1_space_heating","flow_share_fix_me1_hot_water","flow_share_fix_me1_space_cooling","flow_share_fix_sec_elec","flow_share_fix_pri_solar_radiation","flow_share_fix_pri_envir_heat","flow_share_fix_pri_geoth_heat","flow_share_fix_pri_natural_gas","flow_share_fix_sec_heating_oil","starting_year","bandwidth_type","version","method","source","comment"
92,"DE",2020,"hea_hh_me1_heater_hp_air_1",1.0,0.0,18.11236229,724.4944915,15.0,0.915151515,0.0,2.98,0.6,0.0,0.4,0.0,0.0,0.578526813,0.0,0.0,0.0,2015.0,"","","","",""
93,"DE",2025,"hea_hh_me1_heater_hp_air_1",1.0,0.0,18.72002482,748.8009928,15.0,0.915151515,0.0,2.98,0.6,0.0,0.4,0.0,0.0,0.578526813,0.0,0.0,0.0,2015.0,"","","","",""
94,"DE",2030,"hea_hh_me1_heater_hp_air_1",1.0,0.0,19.48595305,779.4381221,15.0,0.915151515,0.0,2.98,0.6,0.0,0.4,0.0,0.0,0.578526813,0.0,0.0,0.0,2015.0,"","","","",""
95,"DE",2035,"hea_hh_me1_heater_hp_air_1",1.0,0.0,19.9267702,797.0708078,15.0,0.915151515,0.0,2.98,0.6,0.0,0.4,0.0,0.0,0.578526813,0.0,0.0,0.0,2015.0,"","","","",""
96,"DE",2040,"hea_hh_me1_heater_hp_air_1",1.0,0.0,20.39146146,815.6584582,15.0,0.915151515,0.0,2.98,0.6,0.0,0.4,0.0,0.0,0.578526813,0.0,0.0,0.0,2015.0,"","","","",""
97,"DE",2045,"hea_hh_me1_heater_hp_air_1",1.0,0.0,20.53929961,821.5719845,15.0,0.915151515,0.0,2.98,0.6,0.0,0.4,0.0,0.0,0.578526813,0.0,0.0,0.0,2015.0,"","","","",""
98,"DE",2050,"hea_hh_me1_heater_hp_air_1",1.0,0.0,20.57170386,822.8681543,15.0,0.915151515,0.0,2.98,0.6,0.0,0.4,0.0,0.0,0.578526813,0.0,0.0,0.0,2015.0,"","","","",""
99,"DE",2060,"hea_hh_me1_heater_hp_air_1",1.0,0.0,20.57170386,822.8681543,15.0,0.915151515,0.0,2.98,0.6,0.0,0.4,0.0,0.0,0.578526813,0.0,0.0,0.0,2015.0,"","","","",""
100,"DE",2070,"hea_hh_me1_heater_hp_air_1",1.0,0.0,20.57170386,822.8681543,15.0,0.915151515,0.0,2.98,0.6,0.0,0.4,0.0,0.0,0.578526813,0.0,0.0,0.0,2015.0,"","","","",""
101,"DE",2015,"hea_hh_me1_heater_hp_dual_air_1",1.0,1.0,21.63577186,865.4308745,18.0,0.0,0.0,0.0,0.877328579,0.122671421,0.0,0.0,0.0,0.66,0.0,0.0,0.0,2015.0,"","","","",""
102,"DE",2020,"hea_hh_me1_heater_hp_dual_air_1",1.0,1.0,22.90557172,916.2228686,18.0,0.0,0.0,0.0,0.872814079,0.127185921,0.0,0.0,0.0,0.66,0.0,0.0,0.0,2015.0,"","","","",""
103,"DE",2025,"hea_hh_me1_heater_hp_dual_air_1",1.0,1.0,24.53271686,981.3086743,18.0,0.0,0.0,0.0,0.868156877,0.131843123,0.0,0.0,0.0,0.66,0.0,0.0,0.0,2015.0,"","","","",""
